ab_crunch_machine|Zkracovačky na stroji
alternate_hammer_curl|Kladivový zdvih střídavě
alternate_incline_dumbbell_curl|Bicepsový zdvih na šikmé lavici s jednoručkami střídavě
alternating_cable_shoulder_press|Tlak nad hlavu na kladce střídavě
alternating_floor_press|Tlak na zemi střídavě
alternating_hang_clean|Přemístění ve visu střídavě
alternating_kettlebell_press|Tlak s kettlebellem střídavě
alternating_kettlebell_row|Přítahy s kettlebellem střídavě
back_flyes_with_bands|Rozpažování s gumou
band_good_morning|Předklony s činkou s gumou
band_skull_crusher|Francouzský tlak s gumou
barbell_ab_rollout|Rollout s velkou činkou
barbell_ab_rollout_on_knees|Rollout v kleku s velkou činkou
barbell_bench_press_medium_grip|Tlak na lavici s velkou činkou
barbell_curl|Bicepsový zdvih s velkou činkou
barbell_full_squat|Hluboký dřep s velkou činkou
barbell_glute_bridge|Most na hýždě s velkou činkou
barbell_hack_squat|Hack dřep s velkou činkou
barbell_hip_thrust|Zvedání pánve s činkou s velkou činkou
barbell_incline_bench_press_medium_grip|Tlak na šikmé lavici s velkou činkou
barbell_incline_shoulder_raise|Zvedání na šikmé lavici s velkou činkou
barbell_lunge|Výpady s velkou činkou
barbell_rear_delt_row|Přítahy na zadní ramena s velkou činkou
barbell_seated_calf_raise|Výpony vsedě s velkou činkou
barbell_shoulder_press|Tlak nad hlavu s velkou činkou
barbell_side_bend|Úklony s velkou činkou
barbell_squat|Dřepy s velkou činkou
barbell_walking_lunge|Chodící výpady s velkou činkou
bench_dips|Tricepsové kliky na bradlech na lavici
bench_jump|Výskoky na lavici
bench_press|Bench press
bench_press_with_bands|Tlak na lavici s gumou
bent_knee_hip_raise|Zvedání pánve s pokrčenými koleny
bent_over_barbell_row|Přítahy v předklonu s velkou činkou
bent_over_dumbbell_rear_delt_raise_with_head_on_bench|Rozpažování v předklonu v předklonu na lavici s jednoručkami
bent_over_one_arm_long_bar_row|Přítahy v předklonu s osou jednoruč
bent_over_row|Přítahy v předklonu
